datetime,temp_heated,temp_out,temp_low,temp_high,moist_F,moist_V,moist_E,moist_true
2024-10-19 15:17:27+03:00,67.20,14.00,30.40,11.40,,,,
2024-10-19 15:17:27.428000+03:00,,,,,156.40,148.60,171.20,
2024-10-19 15:17:29+03:00,67.10,13.70,30.30,11.10,,,,
2024-10-19 15:17:29.178000+03:00,,,,,156.95,149.20,171.75,
2024-10-19 15:17:30+03:00,66.40,13.80,30.60,11.00,,,,
2024-10-19 15:17:30.873000+03:00,,,,,157.90,149.55,171.65,
2024-10-19 15:17:32+03:00,68.10,13.60,30.60,10.80,,,,
2024-10-19 15:17:32.563000+03:00,,,,,156.50,148.60,171.30,
2024-10-19 15:17:34+03:00,66.70,14.30,31.00,12.00,,,,
2024-10-19 15:17:34.278000+03:00,,,,,158.30,150.15,172.70,
2024-10-19 15:17:35+03:00,66.50,13.50,30.40,10.90,,,,
2024-10-19 15:17:35.943000+03:00,,,,,156.15,148.25,170.85,
2024-10-19 15:17:37+03:00,66.60,14.00,30.50,10.80,,,,
2024-10-19 15:17:37.663000+03:00,,,,,156.80,148.90,171.20,
2024-10-19 15:17:39+03:00,72.10,16.80,34.60,14.90,,,,
2024-10-19 15:17:39.343000+03:00,,,,,159.25,150.80,173.30,
2024-10-19 15:17:40+03:00,71.80,20.00,33.30,14.90,,,,
2024-10-19 15:17:41.038000+03:00,,,,,158.65,149.85,172.05,
2024-10-19 15:17:42+03:00,66.80,14.00,30.70,10.80,,,,
2024-10-19 15:17:42.733000+03:00,,,,,157.45,149.55,172.00,
2024-10-19 15:17:44+03:00,66.90,14.80,30.70,10.60,,,,
2024-10-19 15:17:44.398000+03:00,,,,,156.85,149.20,171.80,
2024-10-19 15:17:45+03:00,66.90,13.90,34.10,10.80,,,,
2024-10-19 15:17:46.078000+03:00,,,,,158.15,150.15,173.20,
2024-10-19 15:17:47+03:00,67.10,13.90,30.70,13.50,,,,
2024-10-19 15:17:47.788000+03:00,,,,,156.30,148.90,171.55,
2024-10-19 15:17:49+03:00,66.80,13.80,30.80,10.40,,,,
2024-10-19 15:17:49.483000+03:00,,,,,157.15,148.90,171.00,
2024-10-19 15:17:51+03:00,67.20,13.80,30.60,10.40,,,,
2024-10-19 15:17:51.204000+03:00,,,,,159.00,150.50,173.25,
2024-10-19 15:17:52+03:00,67.30,13.80,30.60,10.40,,,,
2024-10-19 15:17:52.908000+03:00,,,,,210.15,131.20,171.30,
2024-10-19 15:17:54+03:00,68.80,13.80,30.60,10.40,,,,
2024-10-19 15:17:54.588000+03:00,,,,,158.60,149.85,172.00,
2024-10-19 15:17:56+03:00,67.30,14.20,30.90,10.40,,,,
2024-10-19 15:17:56.293000+03:00,,,,,158.75,150.50,172.85,
2024-10-19 15:17:57+03:00,66.90,14.20,30.90,10.40,,,,
2024-10-19 15:17:57.993000+03:00,,,,,157.10,149.55,172.60,
2024-10-19 15:17:59+03:00,66.80,14.00,30.90,10.40,,,,
2024-10-19 15:17:59.663000+03:00,,,,,157.55,149.55,172.20,
2024-10-19 15:18:01+03:00,67.50,14.30,30.90,10.40,,,,
2024-10-19 15:18:01.358000+03:00,,,,,160.10,150.80,172.55,
2024-10-19 15:18:02+03:00,67.50,14.10,31.00,10.40,,,,
2024-10-19 15:18:03.038000+03:00,,,,,157.05,149.85,173.30,
2024-10-19 15:18:04+03:00,67.20,14.00,30.60,10.40,,,,
2024-10-19 15:18:04.730000+03:00,,,,,159.20,150.80,173.55,
2024-10-19 15:18:06+03:00,67.30,13.70,30.70,10.40,,,,
2024-10-19 15:18:06.438000+03:00,,,,,157.60,149.85,172.60,
2024-10-19 15:18:07+03:00,68.50,14.40,34.30,10.40,,,,
2024-10-19 15:18:08.103000+03:00,,,,,159.35,150.80,173.20,
2024-10-19 15:18:09+03:00,67.30,18.00,30.60,10.60,,,,
2024-10-19 15:18:09.793000+03:00,,,,,159.60,151.10,173.95,
2024-10-19 15:18:11+03:00,67.00,14.20,31.00,10.80,,,,
2024-10-19 15:18:11.453000+03:00,,,,,158.20,150.50,173.25,
2024-10-19 15:18:13+03:00,67.00,13.80,30.40,10.70,,,,
2024-10-19 15:18:13.138000+03:00,,,,,159.00,150.80,173.30,
2024-10-19 15:18:14+03:00,67.00,13.80,30.40,10.70,,,,
2024-10-19 15:18:17+03:00,68.90,13.80,30.40,10.70,,,,
2024-10-19 15:18:17.418000+03:00,,,,,159.05,150.50,172.85,
2024-10-19 15:18:18+03:00,67.00,13.90,30.40,10.70,,,,
2024-10-19 15:18:19.103000+03:00,,,,,158.70,150.80,173.80,
2024-10-19 15:18:20+03:00,66.80,13.80,30.40,10.70,,,,
2024-10-19 15:18:20.788000+03:00,,,,,159.20,150.80,173.60,
2024-10-19 15:18:22+03:00,67.00,14.20,30.90,10.70,,,,
2024-10-19 15:18:22.493000+03:00,,,,,159.45,151.10,173.65,
2024-10-19 15:18:24+03:00,66.80,14.50,30.70,10.70,,,,
2024-10-19 15:18:24.188000+03:00,,,,,159.25,150.80,173.35,
